Zone;Produit;Origine;Disponibilité alimentaire (Kcal/personne/jour);Disponibilité alimentaire en quantité (kg/personne/an);Disponibilité de matière grasse en quantité (g/personne/jour);Disponibilité de protéines en quantité (g/personne/jour);Disponibilité intérieure;Aliments pour animaux;Autres Utilisations;Exportations - Quantité;Importations - Quantité;Nourriture;Pertes;Production;Semences;Traitement;Variation de stock
Venezuela (République bolivarienne du);Citrons & Limes;vegetale;1;2.01;0.01;0.03;69;;;0;0;61;8;69;;;
Zambie;Viande de Bovins;animale;25;4.76;1.84;1.91;69;;;1;0;69;;69;;;
Égypte;Piments;vegetale;6;0.8;0.17;0.36;69;;;0;2;65;3;67;;;
Équateur;Pommes;vegetale;6;4.31;0.03;0.03;69;;;2;62;68;1;9;;;
Afrique du Sud;Graines de coton;vegetale;;;;;68;;;0;79;;3;9;0;65;-20
Algérie;Huile d'Olive;vegetale;42;1.73;4.74;;68;;0;0;0;68;;68;;;0
Australie;Mollusques, Autres;animale;1;2.92;0.02;0.16;68;;0;16;56;68;;29;;;
Canada;Seigle;vegetale;11;1.14;0.04;0.36;68;6;;165;10;40;0;223;7;15;0
Eswatini;Boissons Fermentés;vegetale;60;54.41;;0.56;68;;;0;6;68;;62;;;0
Finlande;Céréales, Autres;vegetale;10;1.05;0.03;0.29;68;39;;7;6;6;;69;3;20;0
France;Arachides Decortiquees;vegetale;17;1.06;1.42;0.77;68;;;3;71;68;;;;0;0
Géorgie;Pommes;vegetale;4;3.39;0.02;0.02;68;49;;10;9;15;4;69;;1;0
Hongrie;Oignons;vegetale;7;6.47;0.04;0.21;68;2;;3;9;64;2;62;;0;0
Iraq;Huile de Soja;vegetale;49;2;5.49;;68;;;;68;68;;0;;;0
Malaisie;Huile de Coco;vegetale;27;1.13;3.08;;68;;35;131;158;33;;53;;;-11
Mexique;Huile Graines de Coton;vegetale;10;0.43;1.17;0.01;68;;16;3;28;52;;42;;;0
Myanmar;Pois;vegetale;11;1.2;0.05;0.73;68;;;;;64;2;68;2;;
Pakistan;Orge;vegetale;1;0.15;0;0.02;68;33;0;0;2;27;2;67;5;1;0
Pays-Bas;Oignons;vegetale;1;1.4;0.01;0.05;68;;;1570;327;23;44;1310;;;0
Pologne;Huile de Tournesol;vegetale;43;1.79;4.9;0;68;;0;10;53;68;;20;;;5
Slovaquie;Graisses Animales Crue;animale;219;12.35;24.48;0.07;68;;0;21;61;67;;27;;0;0
Sri Lanka;Poissons Eau Douce;animale;6;3.2;0.22;0.95;68;;0;0;1;68;;67;;;0
Bénin;Piments;vegetale;57;6.51;3.09;2.14;67;;;0;0;67;;67;;;
Cameroun;Viande, Autre;animale;9;3.01;0.25;1.48;67;;;0;0;67;;67;;;
Finlande;Café;vegetale;15;12.34;;2.05;67;;;12;79;67;;;;;0
Gabon;Racines nda;vegetale;56;24.45;0.07;0.98;67;;;0;2;41;20;65;7;;
Gabon;Riz (Eq Blanchi);vegetale;370;37.07;0.52;7.13;67;;3;0;86;62;3;1;0;;-20
Hongrie;Crème;animale;35;6.57;3.47;0.49;67;;;2;8;65;1;61;;;
Israël;Poissons Eau Douce;animale;14;8.72;0.51;2.26;67;;0;0;51;67;;17;;;
Italie;Huile de Germe de Maïs;vegetale;27;1.1;3.02;;67;;;19;22;67;;65;;;0
Maroc;Abats Comestible;animale;6;2.03;0.23;0.92;67;;;0;0;67;;67;;;0
Maroc;Beurre, Ghee;animale;40;2.04;4.53;0.05;67;;;0;33;67;;35;;;0
Oman;Bananes;vegetale;24;14.79;0.12;0.28;67;;;0;0;54;13;67;;;
Pakistan;Arachides Decortiquees;vegetale;1;0.07;0.09;0.05;67;;;1;13;13;1;55;10;44;
Philippines;Cephalopodes;animale;1;0.68;0.01;0.26;67;;0;15;19;67;;64;;;
République centrafricaine;Lait - Excl Beurre;animale;23;13.53;1.25;1.16;67;;1;0;5;62;3;62;;;0
Serbie;Viande de Bovins;animale;41;7.05;3.21;2.94;67;;;2;1;67;;68;;;
Slovénie;Fruits, Autres;vegetale;39;30.82;0.41;0.51;67;;;28;58;64;4;37;;1;0
Thaïlande;Vin;vegetale;0;0.12;;;8;;;8;16;8;;;;;0
Turkménistan;Riz (Eq Blanchi);vegetale;108;10.93;0.21;2.02;67;;;;0;57;2;67;8;;
Yémen;Oeufs;animale;9;2.23;0.62;0.65;67;;;0;0;54;2;67;11;;
États-Unis d'Amérique;Huile d'Arachide;vegetale;5;0.23;0.6;0;67;;15;51;23;74;1;96;;;0
Allemagne;Olives;vegetale;2;0.8;0.24;0.02;66;;;9;75;66;0;;;;
Brésil;Huile de Germe de Maïs;vegetale;8;0.33;0.91;0;66;;;28;0;66;;94;;;0
Cameroun;Feve de Cacao;vegetale;5;0.51;0.42;0.11;66;;;214;1;11;55;275;;;5
Côte d'Ivoire;Arachides Decortiquees;vegetale;34;2.42;2.76;1.43;66;;;2;2;49;6;67;4;6;0
Indonésie;Orge;vegetale;0;0;0;0;66;;;0;82;0;;;;66;-16
Libéria;Huile de Palme;vegetale;354;14.61;40.03;;66;;3;2;26;63;;42;;;0
Nicaragua;Ananas;vegetale;8;8.88;0.02;0.05;66;;;0;6;54;12;60;;;
Nicaragua;Arachides Decortiquees;vegetale;35;2.3;2.81;1.63;66;;;93;1;14;5;150;2;45;8
Népal;Noix;vegetale;16;2.37;0.51;0.33;66;;;10;56;66;;20;;;0
République de Corée;Poissons Eau Douce;animale;2;1.34;0.09;0.38;66;;0;1;36;66;;31;;;
République populaire démocratique de Corée;Tomates;vegetale;1;2.33;0.02;0.07;66;;;0;0;58;8;66;;;
Serbie;Boissons Alcooliques;vegetale;56;6.91;;;66;;;2;5;66;;63;;;
Sri Lanka;Huile de Coco;vegetale;55;2.24;6.21;;66;;18;4;15;48;;55;;;0
Suisse;Céréales, Autres;vegetale;9;1.46;0.03;0.25;66;52;;1;16;12;1;51;2;;0
Turkménistan;Pommes;vegetale;11;8.59;0.07;0.02;66;14;;1;1;45;7;65;;;0
Uruguay;Vin;vegetale;36;19.27;;;66;;;4;3;66;;67;;;0
Zimbabwe;Orge;vegetale;2;0.24;0.01;0.04;66;3;;10;16;3;4;60;1;55;0
Équateur;Graisses Animales Crue;animale;84;4.22;9.29;0.15;66;;3;3;4;66;;65;;;0
Éthiopie;Café;vegetale;1;0.7;;0.13;66;;;204;0;66;0;270;;;0
Éthiopie;Graines de coton;vegetale;;;;;66;;;0;0;;;66;2;64;
Arabie saoudite;Ananas;vegetale;3;2.2;0;0.02;65;;;6;71;63;2;;;;0
Argentine;Viande d'Ovins/Caprins;animale;9;1.56;0.77;0.56;65;;;2;0;65;;66;;;
Bulgarie;Boissons Alcooliques;vegetale;67;8.31;;;65;;5;11;15;60;;62;;;0
Bulgarie;Huile de Tournesol;vegetale;216;8.75;24.36;0.04;65;;2;197;26;63;;187;;0;50
Bénin;Noix;vegetale;51;6.44;4.06;1.35;65;;;142;0;66;0;195;;;13
Bénin;Patates douces;vegetale;15;5.65;0.03;0.2;65;;;0;;58;6;65;;;
Cuba;Coco (Incl Coprah);vegetale;19;5.17;1.77;0.23;65;;;0;0;58;6;65;;;
Finlande;Edulcorants Autres;vegetale;24;3.44;;0;65;;19;5;55;19;;15;;27;0
Iraq;Légumineuses Autres;vegetale;18;1.84;0.09;1.21;65;1;;0;57;62;2;8;0;;0
Italie;Huile de Coco;vegetale;11;0.55;1.21;0.01;65;;32;15;80;34;;0;;0;0
Italie;Poissons Marins, Autres;animale;2;1.07;0.11;0.33;65;;0;8;68;65;;5;;;0
Japon;Citrons & Limes;vegetale;0;0.44;0.01;0.01;65;;;0;56;56;9;9;;;
Kazakhstan;Sucre, betterave;vegetale;;;;;65;2;21;0;0;;1;65;;40;0
Liban;Noix;vegetale;85;13.18;7.54;2.41;65;;1;8;38;64;;34;;0;0
Mongolie;Abats Comestible;animale;31;10.34;1.08;4.77;65;;35;1;0;29;;66;;;
Panama;Oranges, Mandarines;vegetale;10;15.12;0.03;0.17;65;;;6;27;58;7;44;;;
Pologne;Huile de Soja;vegetale;40;1.66;4.53;0.01;65;;2;11;67;63;;9;;;0
Rwanda;Bière;vegetale;7;5.53;;0.08;65;;;37;3;65;;99;;;0
République de Corée;Beurre, Ghee;animale;26;1.3;2.9;0.03;65;;1;0;6;64;;59;;;
République-Unie de Tanzanie;Abats Comestible;animale;4;1.32;0.12;0.63;65;;;0;0;65;;65;;;0
Sénégal;Viande de Volailles;animale;15;4.62;0.97;1.56;65;;;0;0;65;;65;;;
Tchad;Graines de coton;vegetale;;;;;65;;1;0;0;;;65;11;53;0
Venezuela (République bolivarienne du);Perciform;animale;3;2.15;0.06;0.48;65;0;0;0;36;65;;29;;;
Éthiopie;Noix;vegetale;5;0.66;0.45;0.13;65;;;0;1;62;3;65;;;
Algérie;Haricots;vegetale;14;1.55;0.06;0.92;64;;;0;63;61;3;1;0;;0
Danemark;Perciform;animale;15;5.06;0.62;2.06;64;36;0;668;324;28;;333;;;75
Finlande;Vin;vegetale;22;11.79;;0;64;;;2;65;64;;;;;0
Grèce;Huile de Palme;vegetale;10;0.42;1.17;0.01;64;;59;25;89;5;;;;;0
Géorgie;Vin;vegetale;28;14.73;;;64;;;36;0;64;;100;;;
Macédoine du Nord;Fruits, Autres;vegetale;32;23.88;0.3;0.45;64;;;32;10;50;8;85;;5;0
Maroc;Soja;vegetale;0;0;;0;64;;;0;63;0;2;1;;62;0
Norvège;Oeufs;animale;44;11.41;3.1;3.56;64;;;0;1;58;1;64;5;;
Oman;Oignons;vegetale;13;15.85;0.09;0.48;64;;0;1;56;58;6;9;;;0
Oman;Tomates;vegetale;8;17.49;0.1;0.39;64;;;70;101;64;;48;;;-15
Pakistan;Poissons Pelagiques;animale;1;0.31;0.02;0.11;64;8;0;88;0;56;;151;;;0
Paraguay;Ananas;vegetale;8;8.44;0.02;0.05;64;;;0;1;57;6;63;;;
Portugal;Avoine;vegetale;6;1.1;0.12;0.25;64;45;;0;27;12;3;37;4;;0
Royaume-Uni;Huile d'Olive;vegetale;23;0.96;2.62;;64;;3;3;66;61;;0;;;0
République dominicaine;Graisses Animales Crue;animale;29;1.31;3.2;0.02;64;;51;;35;14;;29;;;
République démocratique populaire lao;Patates douces;vegetale;18;7.07;0.06;0.17;64;10;;;0;48;6;64;;;
Slovaquie;Pommes;vegetale;12;10.2;0.06;0.05;64;;;83;100;56;8;46;;0;0
Tadjikistan;Riz (Eq Blanchi);vegetale;69;6.99;0.13;1.29;64;;0;1;23;57;5;52;2;;-10
Togo;Millet;vegetale;57;7.07;0.58;1.65;64;;;0;0;48;7;64;1;9;0
Venezuela (République bolivarienne du);Graines de tournesol;vegetale;0;0.01;0.01;0;64;;;0;2;0;1;58;;62;4
Venezuela (République bolivarienne du);Raisin;vegetale;3;1.9;0.02;0.03;64;;;0;23;58;7;41;;;
Yémen;Edulcorants Autres;vegetale;15;2.62;;;64;;;1;59;64;;5;;;0
Émirats arabes unis;Huile de Soja;vegetale;122;5.23;13.8;0.02;64;;12;30;32;49;4;31;;;32
Afrique du Sud;Patates douces;vegetale;3;1.12;0.01;0.04;63;3;;2;0;59;1;65;;;
Allemagne;Huile d'Olive;vegetale;18;0.74;2.04;;63;;1;5;67;62;;;;;0
Argentine;Cephalopodes;animale;3;1.51;0.03;0.59;63;;0;130;1;63;;192;;;0
Bolivie (État plurinational de);Bananes;vegetale;4;2.55;0.01;0.06;63;12;;101;0;27;25;164;;;
Bulgarie;Pommes;vegetale;8;6.45;0.07;0.05;63;;;36;45;47;7;55;;10;0
Côte d'Ivoire;Abats Comestible;animale;9;3.09;0.25;1.54;63;;;0;50;63;;12;;;
Danemark;Huiles de Poissons;animale;90;3.64;9.98;0;63;43;0;121;98;20;;86;;;0
Espagne;Alcool, non Comestible;vegetale;;;;;63;;63;187;101;;;128;;;20
Fédération de Russie;Coco (Incl Coprah);vegetale;2;0.44;0.16;0.02;63;;0;0;63;63;0;;;;
Géorgie;Orge;vegetale;58;8.46;0.24;1.84;63;;6;7;35;37;1;35;9;10;0
Hongrie;Boissons Alcooliques;vegetale;51;6.33;;;63;;0;3;12;63;;54;;;0
Jordanie;Huile de Palme;vegetale;197;8.49;22.29;0.04;63;;2;5;69;62;;;;;0
Macédoine du Nord;Bière;vegetale;38;28.43;;0.39;63;;;8;9;60;3;62;;;
Nouvelle-Zélande;Bananes;vegetale;21;12.48;0.04;0.27;63;;;0;63;56;6;;;0;0
Roumanie;Riz (Eq Blanchi);vegetale;25;2.59;0.04;0.49;63;;3;21;48;56;2;36;2;;0
République de Moldova;Sucre Eq Brut;vegetale;171;17.64;;;63;;;34;44;62;;140;;1;-88
République de Moldova;Viande de Volailles;animale;61;17.93;3.8;6.17;63;;;0;19;63;;43;;0;0
République démocratique populaire lao;Viande de Suides;animale;92;9.31;8.8;2.83;63;;;0;0;63;;63;;;0
République-Unie de Tanzanie;Viande d'Ovins/Caprins;animale;6;1.28;0.44;0.51;63;;;0;0;63;;63;;;
Tunisie;Céréales, Autres;vegetale;7;0.78;0.02;0.19;63;53;0;0;2;9;1;61;0;;0
Ukraine;Citrons & Limes;vegetale;1;1.39;0.01;0.02;63;;;0;63;63;;;;;
Émirats arabes unis;Raisin;vegetale;9;5.65;0.05;0.09;63;;3;23;87;53;8;0;;;0
Autriche;Huile de Tournesol;vegetale;169;6.8;19.03;0.09;62;;;51;79;58;5;45;;;-10
Belgique;Huile de Soja;vegetale;103;4.23;11.6;;62;10;5;66;107;47;;17;;;5
Belize;Maïs;vegetale;277;31.75;0.87;6.27;62;45;1;9;1;11;5;72;1;;-2
Bélarus;Pois;vegetale;;;;;62;56;;1;4;;3;58;3;;
Cameroun;Palmistes;vegetale;1;0;0;0;62;;;0;0;1;4;62;;57;0
Costa Rica;Bière;vegetale;13;12.69;;0.1;62;;;6;13;62;;55;;;0
Costa Rica;Palmistes;vegetale;;;;;62;;10;13;22;;;52;;52;0
Iraq;Citrons & Limes;vegetale;1;1.65;0.01;0.02;62;;;;55;56;6;7;;;
Iraq;Viande d'Ovins/Caprins;animale;12;1.83;1.02;0.7;62;;;;1;62;;61;;;0
Irlande;Tomates;vegetale;7;12.74;0.07;0.32;62;;;1;59;59;3;5;;;0
Israël;Graines Colza/Moutarde;vegetale;2;0;0;0;62;;4;0;56;2;;;;56;6
Kenya;Plantes Oleiferes, Autre;vegetale;0;0;;;62;21;0;0;21;0;;41;0;41;0
Lituanie;Tomates;vegetale;8;18.47;0.09;0.37;62;;;120;169;56;6;12;;;0
Malaisie;Huil Plantes Oleif Autr;vegetale;23;0.97;2.65;0;62;;28;153;29;29;;185;;5;0
Malte;Maïs;vegetale;40;5.38;0.13;0.93;62;50;9;1;63;2;1;;;;
Maurice;Légumes, Autres;vegetale;32;45.35;0.22;1.45;62;;0;0;10;56;5;52;;;0
Népal;Huil Plantes Oleif Autr;vegetale;52;2.15;5.89;0;62;;2;3;0;60;;65;;;
République-Unie de Tanzanie;Sésame;vegetale;;;;;62;;;88;0;;21;420;3;38;-270
Suisse;Café;vegetale;9;7.65;;0.35;62;;;103;164;62;;;;;
Tchéquie (la);Boissons Alcooliques;vegetale;47;5.76;;;62;;;30;28;62;;63;;;
Turquie;Huile de Palmistes;vegetale;11;0.48;1.27;0.01;62;;27;61;111;36;;;;;12
Ukraine;Légumineuses Autres;vegetale;0;0.03;0;0.02;62;63;;6;1;1;0;68;3;;0
Zimbabwe;Pommes de Terre;vegetale;8;3.88;0.01;0.16;62;;1;0;4;55;3;58;4;0;
États-Unis d'Amérique;Poivre;vegetale;1;0.19;0.01;0.06;62;;;10;72;62;;;;;
Éthiopie;Viande de Volailles;animale;2;0.66;0.14;0.22;62;;;0;0;62;;62;;;
Arménie;Viande de Bovins;animale;114;19.66;8.88;7.97;61;;2;0;7;59;;54;;;0
Autriche;Poissons Pelagiques;animale;12;4.32;0.62;1.39;61;25;0;11;72;37;;;;;
Bangladesh;Pamplemousse;vegetale;0;0.37;0;0;61;;;0;0;58;3;61;;;
Bolivie (État plurinational de);Tomates;vegetale;3;5.21;0.04;0.12;61;;;0;9;56;5;52;;;
Chine - RAS de Hong-Kong;Bananes;vegetale;12;7.17;0.04;0.16;61;;2;17;78;52;8;;;;
Gambie;Arachides Decortiquees;vegetale;65;4.23;5.34;2.77;61;;;4;0;8;3;66;5;45;0
Maroc;Viande, Autre;animale;5;1.83;0.17;0.82;61;;;9;0;61;;69;;;0
Pérou;Poissons Marins, Autres;animale;1;0.36;0.02;0.1;61;50;0;0;12;11;;49;;;
République de Corée;Graines Colza/Moutarde;vegetale;1;0;0;0;61;;;0;59;6;2;2;0;53;
République de Corée;Huile de Coco;vegetale;30;1.25;3.41;;61;;0;0;61;61;;1;;;0
Sierra Leone;Arachides Decortiquees;vegetale;67;4.58;5.59;2.95;61;;;;0;28;3;61;4;26;
Slovénie;Sucre Eq Brut;vegetale;207;24.14;;;61;;9;74;135;50;;0;;2;0
Suisse;Avoine;vegetale;6;1.65;0.11;0.23;61;46;;0;50;13;0;8;1;;3
Tunisie;Viande de Bovins;animale;28;5.53;2.1;2.21;61;;;0;5;61;;56;;;0
Allemagne;Viande d'Ovins/Caprins;animale;5;0.73;0.4;0.25;60;;;7;34;60;;34;;;
Bahamas;Lait - Excl Beurre;animale;186;104.76;11.31;9.96;60;1;19;0;57;39;0;3;;;0
Bangladesh;Citrons & Limes;vegetale;0;0.36;0.01;0;60;;;0;0;57;3;60;;;
Belgique;Poissons Pelagiques;animale;13;4.41;0.66;1.56;60;11;0;20;79;49;;0;;;
Burkina Faso;Oeufs;animale;9;2.61;0.6;0.74;60;;;0;0;44;12;60;4;;
Colombie;Graisses Animales Crue;animale;20;1.05;2.28;0.04;60;;9;0;19;51;;41;;;0
Costa Rica;Oeufs;animale;38;10.55;2.49;2.86;60;;;3;2;51;1;60;7;;0
Danemark;Boissons Alcooliques;vegetale;27;3.37;;;60;;41;22;35;19;;47;;;0
Eswatini;Racines nda;vegetale;108;43.2;0.24;1.89;60;;;0;0;54;6;60;;;0
Grèce;Céréales, Autres;vegetale;10;1.74;0.03;0.29;60;41;;1;35;19;0;27;0;;0
Guyana;Coco (Incl Coprah);vegetale;102;27.5;9.42;1.21;60;;10;16;0;22;16;75;;12;0
Haïti;Racines nda;vegetale;12;4.65;0.03;0.15;60;;;0;0;48;12;60;;;
Jordanie;Légumineuses Autres;vegetale;74;7.58;0.58;4.56;60;1;;1;59;55;3;3;0;;0
Malaisie;Edulcorants Autres;vegetale;9;1.13;0.02;0.01;60;;26;98;109;34;;42;;;7
Maroc;Perciform;animale;2;1.82;0.04;0.41;60;;0;2;1;60;;61;;;
Nigéria;Piments;vegetale;3;0.31;0.15;0.1;60;;;0;0;54;6;60;;;
Norvège;Alcool, non Comestible;vegetale;;;;;60;;60;0;44;;;16;;;0
Oman;Perciform;animale;18;13.65;0.28;3.61;60;;10;2;1;50;;61;;;
Pérou;Graines de coton;vegetale;;;;;60;;;0;0;;;60;1;59;0
Roumanie;Pois;vegetale;2;0.17;0.01;0.11;60;46;;1;1;4;1;54;9;;5
Royaume-Uni;Patates douces;vegetale;;;;;60;60;;6;66;;;;;;
Rwanda;Sucre Eq Brut;vegetale;50;5.1;;;60;;;14;63;60;;11;;;0
Tchad;Légumineuses Autres;vegetale;30;4;0.52;1.55;60;;;;2;51;6;58;2;;
Tchad;Poissons Eau Douce;animale;12;4.67;0.43;1.85;60;;0;0;0;60;;60;;;
Éthiopie;Avoine;vegetale;4;0.61;0.07;0.19;60;;;0;1;57;;60;3;;
Afrique du Sud;Graisses Animales Crue;animale;6;0.3;0.65;;59;;43;5;29;16;;33;;;1
Allemagne;Thé;vegetale;1;0.71;;0.14;59;;;40;98;59;;;;;0
Autriche;Noix;vegetale;42;6.88;3.81;1.06;59;;;29;85;58;1;3;;;0
Cameroun;Huile d'Arachide;vegetale;64;2.64;7.23;;59;;;0;0;59;;59;;;0
Chili;Légumineuses Autres;vegetale;21;2.21;0.32;1.58;59;13;5;11;27;39;0;44;2;;0
Croatie;Vin;vegetale;27;13.8;;0;59;;;3;13;59;;50;;;0
Ghana;Citrons & Limes;vegetale;1;2.08;0.01;0.01;59;;;0;12;54;5;47;;;
Madagascar;Viande de Suides;animale;22;2.56;2.04;0.81;59;;;0;0;59;;58;;0;0
Malaisie;Patates douces;vegetale;2;0.86;0.01;0.02;59;24;;2;10;26;6;51;3;;
Malaisie;Raisin;vegetale;3;2;0.01;0.03;59;;;5;64;59;;;;;0
Maroc;Thé;vegetale;2;1.78;;0.49;59;;;0;59;59;;;;;0
Maurice;Riz (Eq Blanchi);vegetale;457;45.56;0.73;8.71;59;;2;1;59;57;1;0;0;;2
Mexique;Piments;vegetale;4;0.48;0.07;0.17;59;;;22;21;59;;60;;;
Norvège;Huile de Soja;vegetale;261;10.96;29.36;0.17;59;;4;70;56;55;;73;;0;0
Panama;Pommes de Terre;vegetale;22;13.98;0.04;0.49;59;;2;0;33;54;3;26;0;;
Pologne;Café;vegetale;2;1.53;;0.27;59;;;162;220;59;;;;;0
Pérou;Poissons Eau Douce;animale;4;1.96;0.14;0.62;59;;0;1;0;59;;60;;;
Suède;Riz (Eq Blanchi);vegetale;59;5.96;0.1;1.13;59;1;1;1;60;57;;;;;0
Tunisie;Viande d'Ovins/Caprins;animale;29;5.34;2.28;1.99;59;;1;0;2;59;;58;;;
Turquie;Coco (Incl Coprah);vegetale;3;0.79;0.28;0.03;59;;;0;59;59;;;;0;
Viet Nam;Sésame;vegetale;;;;;59;;44;2;28;;2;33;0;12;0
Émirats arabes unis;Sorgho;vegetale;;;;;59;59;;0;5;;;54;;;
Éthiopie;Arachides Decortiquees;vegetale;9;0.55;0.76;0.4;59;;;17;3;52;1;72;3;3;0
Bahamas;Sucre, canne;vegetale;;;;;58;;;;0;;;58;;58;
Cabo Verde;Lait - Excl Beurre;animale;200;115.64;10.17;10.7;58;;;0;42;58;0;11;;;5
Canada;Huile de Germe de Maïs;vegetale;38;1.6;4.25;0;58;;2;24;24;56;;58;;;0
Congo;Racines nda;vegetale;28;11.45;0.06;0.5;58;;;;0;51;7;58;;;
Congo;Viande de Volailles;animale;44;13.02;2.7;4.51;58;;;0;51;58;;7;;;0
Croatie;Avoine;vegetale;1;0.16;0.01;0.04;58;53;;4;2;1;1;60;4;;
Espagne;Huile de Colza&Moutarde;vegetale;5;0.26;0.57;0;58;;46;25;46;12;;36;;;0
Fédération de Russie;Boissons Fermentés;vegetale;1;0.41;;0;58;;;3;61;58;;;;;0
Honduras;Viande de Bovins;animale;28;7.19;1.63;3.16;58;;;7;3;58;;63;;;0
Italie;Viande d'Ovins/Caprins;animale;6;0.92;0.51;0.31;58;;;2;25;56;2;35;;;
Myanmar;Café;vegetale;1;1.09;;0.07;58;;;0;50;58;;8;;;
Nouvelle-Zélande;Avoine;vegetale;24;3.29;0.44;0.92;58;35;6;0;10;15;1;28;1;;20
Nouvelle-Zélande;Oranges, Mandarines;vegetale;8;12.31;0.02;0.14;58;;;7;48;55;3;16;;;2
Népal;Viande d'Ovins/Caprins;animale;9;2.1;0.59;0.89;58;;;0;0;58;;58;;;
Ouganda;Abats Comestible;animale;5;1.53;0.14;0.73;58;;0;0;0;58;;58;;;
Paraguay;Riz (Eq Blanchi);vegetale;50;4.91;0.1;0.98;58;;0;361;1;33;21;412;4;;6
Pérou;Agrumes, Autres;vegetale;1;1.17;0.01;0.02;58;;12;0;;35;11;58;;;
République dominicaine;Oignons;vegetale;6;4.98;0.03;0.18;58;;;0;8;52;6;50;;;
Slovénie;Viande de Suides;animale;132;28.19;10.86;7.81;58;;;20;49;58;;30;;0;0
Sénégal;Oranges, Mandarines;vegetale;3;3.83;0.02;0.04;58;;;1;20;54;4;40;;;0
Tchéquie (la);Riz (Eq Blanchi);vegetale;47;4.79;0.11;0.89;58;6;0;17;75;51;;;;;0
Thaïlande;Aliments pour enfants;vegetale;2;0.18;0.01;0.08;12;;;7;19;12;;;;;
Thaïlande;Sésame;vegetale;2;0.1;0.14;0.04;58;;;6;12;6;3;52;1;47;0
Ukraine;Mollusques, Autres;animale;1;1.28;0.01;0.09;58;;0;1;58;58;;1;;;
Uruguay;Abats Comestible;animale;9;2.91;0.29;1.42;58;39;;26;1;10;9;83;;;
Uruguay;Fruits, Autres;vegetale;18;16.33;0.1;0.22;58;;;3;23;56;4;39;;;0
Émirats arabes unis;Ananas;vegetale;8;6.23;0.02;0.05;58;;;12;70;58;;;;;0
Afrique du Sud;Manioc;vegetale;0;0;0;0;57;;57;2;58;0;;;;;1
Algérie;Abats Comestible;animale;4;1.45;0.18;0.63;57;;0;0;1;57;;56;;;
Bulgarie;Graisses Animales Crue;animale;117;5.91;12.85;0.31;57;;14;1;29;43;;30;;;0
Bénin;Palmistes;vegetale;;;;;57;;36;0;1;;;56;;21;0
Canada;Graines de tournesol;vegetale;;;;;57;3;;48;23;;;52;1;53;30
Chili;Cephalopodes;animale;3;1.74;0.03;0.56;57;3;23;65;0;31;;108;;;13
Chili;Edulcorants Autres;vegetale;22;2.88;;0;57;;6;12;69;51;;;;;0
Chypre;Viande de Suides;animale;166;38.38;13.94;9.34;57;;10;2;10;44;3;49;;0;
Danemark;Abats Comestible;animale;21;6.83;0.65;3.44;57;18;0;264;79;38;;242;;;0
El Salvador;Coco (Incl Coprah);vegetale;27;7.32;2.5;0.32;57;;0;0;2;46;2;55;;8;0
Finlande;Oeufs;animale;37;9.55;2.6;3;57;;;11;1;52;1;67;5;;
Gabon;Légumes, Autres;vegetale;23;31.41;0.19;1.33;57;;;0;10;53;5;47;;;
Guyana;Blé;vegetale;465;59.66;2.42;12.6;57;5;2;3;60;48;2;;;;0
Indonésie;Graisses Animales Crue;animale;7;0.37;0.79;0.04;57;;0;91;10;91;;116;;;22
Islande;Blé;vegetale;624;72.92;9.9;23.1;57;18;3;0;57;24;;;;12;0
Japon;Animaux Aquatiques Autre;animale;0;0.26;0;0.01;57;;24;21;47;34;;31;;;
Kazakhstan;Graisses Animales Crue;animale;28;1.4;3.1;0.02;57;;34;2;23;23;;36;;;
Kirghizistan;Viande de Volailles;animale;8;2.31;0.56;0.76;57;;45;0;51;13;;6;;;0
Lettonie;Céréales, Autres;vegetale;8;1.04;0.03;0.23;57;46;;25;10;2;1;71;8;;0
Mexique;Beurre, Ghee;animale;10;0.46;1.18;0.01;57;;;5;40;57;;21;;;
Mongolie;Viande de Bovins;animale;111;19.95;8.65;7.8;57;;;0;0;57;;56;;;0
Mozambique;Arachides Decortiquees;vegetale;11;0.75;0.88;0.45;57;;;18;1;19;2;74;17;19;
Ouganda;Viande de Volailles;animale;5;1.51;0.32;0.51;57;;;0;0;57;;57;;;0
Portugal;Ananas;vegetale;7;5.22;0.01;0.04;57;;;25;78;55;2;3;;;
Uruguay;Oeufs;animale;47;13.14;3.1;3.57;57;;;0;1;45;3;56;9;;
Uruguay;Tomates;vegetale;10;15.39;0.12;0.4;57;;;1;25;52;5;33;;;
Uruguay;Viande de Suides;animale;80;16.84;6.76;4.43;57;;;0;40;57;;18;;;
Viet Nam;Raisin;vegetale;1;0.6;0;0.01;57;;;;38;55;2;19;;;
Émirats arabes unis;Crustacés;animale;2;1.65;0.02;0.48;57;;42;17;73;15;;1;;;0
Arabie saoudite;Feve de Cacao;vegetale;34;1.95;3.08;0.43;56;;;2;58;56;;;;;
Estonie;Avoine;vegetale;25;4.36;0.41;1.05;56;42;;31;5;6;2;85;7;;-3
France;Alcool, non Comestible;vegetale;;;;;56;;56;693;174;;;575;;;0
Guinée;Légumineuses Autres;vegetale;39;4.16;0.23;2.51;56;;;0;0;49;4;56;3;;
Honduras;Pommes de Terre;vegetale;9;5.46;0.02;0.21;56;;4;0;27;44;4;29;4;;0
Irlande;Bananes;vegetale;19;11.35;0.04;0.25;56;;;52;108;53;3;;;;0
